metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model,datasets,malware,benigno
jowmdroid,drebin_215,5484.0,71.0,120.0,5435.0,0.9828082808280828,0.9871049763893934,0.9783978397839784,0.982732121869632,0.9828082808280828,0.9656541301763226,11.002256870269775,rf,,,
jowmdroid,drebin_215,5410.0,145.0,162.0,5393.0,0.9723672367236724,0.973817262549657,0.9708370837083709,0.9723248895699992,0.9723672367236724,0.9447388974210214,11.002256870269775,knn,,,
jowmdroid,kronodroid_real_device,35674.0,1081.0,1613.0,35142.0,0.9633519249081758,0.9701570825166332,0.956114814310978,0.9630847652717256,0.9633519249081758,0.9268009387269514,426.6020436286926,svm,,,
jowmdroid,kronodroid_real_device,35970.0,785.0,1159.0,35596.0,0.9735546184192628,0.9784228031115144,0.9684668752550674,0.9734193830671626,0.9735546184192628,0.947158272738856,426.6020436286926,rf,,,
jowmdroid,kronodroid_real_device,35729.0,1026.0,1678.0,35077.0,0.9632158889946946,0.9715813090324904,0.954346347435723,0.9628867111367316,0.9632158889946946,0.9265775748915116,426.6020436286926,knn,,,
jowmdroid,mh_100k,11568.0,1153.0,38.0,12683.0,0.953187642480937,0.9166666666666666,0.9970128134580616,0.955153066987988,0.953187642480937,0.9098771267470523,377.68475794792175,svm,,,
jowmdroid,mh_100k,11600.0,1121.0,308.0,12413.0,0.94383303199434,0.917171567903059,0.9757880669758668,0.9455722719482004,0.94383303199434,0.8894844710539418,377.68475794792175,rf,,,
jowmdroid,mh_100k,11420.0,1301.0,886.0,11835.0,0.9140397767471112,0.9009591961023142,0.9303513874695386,0.9154194222067524,0.9140397767471112,0.8285205575459501,377.68475794792175,knn,,,
mt,adroit,3162.0,256.0,786.0,2632.0,0.847571679344646,0.9113573407202216,0.770040959625512,0.8347605455122106,0.847571679344646,0.7036541766951794,0.0827827453613281,svm,,,
mt,adroit,3118.0,300.0,742.0,2676.0,0.847571679344646,0.8991935483870968,0.7829139847864248,0.8370347200500469,0.847571679344646,0.701029543022646,0.0827827453613281,rf,,,
mt,adroit,3415.0,3.0,3409.0,9.0,0.5008777062609713,0.75,0.0026331187829139,0.0052478134110787,0.5008777062609714,0.0209672328517232,0.0827827453613281,knn,,,
mt,androcrawl,7109.0,3061.0,437.0,9733.0,0.828023598820059,0.7607472252618415,0.9570304818092428,0.8476746211461418,0.8280235988200589,0.679038602379572,0.0943810939788818,svm,,,
mt,androcrawl,7109.0,3061.0,437.0,9733.0,0.828023598820059,0.7607472252618415,0.9570304818092428,0.8476746211461418,0.8280235988200589,0.679038602379572,0.0943810939788818,rf,,,
mt,androcrawl,10170.0,0.0,10170.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0943810939788818,knn,,,
mt,android_permissions,5689.0,3388.0,3952.0,5125.0,0.5956813925305717,0.6020204393280865,0.564613859204583,0.5827174530983513,0.5956813925305718,0.1917332616654008,0.2925953865051269,svm,,,
mt,android_permissions,5696.0,3381.0,3965.0,5112.0,0.5953508868568911,0.6019074531967503,0.5631816679519666,0.5819009675583381,0.5953508868568911,0.1910977020866439,0.2925953865051269,rf,,,
mt,android_permissions,6.0,9071.0,2.0,9075.0,0.5002203371157872,0.5001102171277416,0.9997796628842128,0.6667156448591265,0.5002203371157872,0.0104984345376656,0.2925953865051269,knn,,,
mt,defensedroid_apicalls_closeness,4978.0,244.0,635.0,4587.0,0.9158368441210264,0.9494928586214034,0.8783990808119494,0.9125634139062966,0.9158368441210264,0.8340148615202756,330.8472194671631,svm,,,
mt,defensedroid_apicalls_closeness,4980.0,242.0,421.0,4801.0,0.9365185752585216,0.952012690858616,0.9193795480658752,0.9354115927910376,0.9365185752585216,0.87355050573346,330.8472194671631,rf,,,
mt,defensedroid_apicalls_closeness,4823.0,399.0,536.0,4686.0,0.9104749138261202,0.9215339233038348,0.8973573343546534,0.9092849519743864,0.9104749138261202,0.8212324967148986,330.8472194671631,knn,,,
mt,defensedroid_apicalls_degree,4833.0,389.0,637.0,4585.0,0.9017617770968978,0.921793325291516,0.8780160857908847,0.8993723028638682,0.9017617770968978,0.8044312360296909,345.02065658569336,svm,,,
mt,defensedroid_apicalls_degree,4960.0,262.0,420.0,4802.0,0.9346993489084642,0.94826224328594,0.9195710455764076,0.9336962862142718,0.9346993489084642,0.8697969220999153,345.02065658569336,rf,,,
mt,defensedroid_apicalls_degree,4699.0,523.0,577.0,4645.0,0.8946763692072003,0.8988003095975232,0.8895059364228265,0.8941289701636189,0.8946763692072003,0.7893949459252856,345.02065658569336,knn,,,
mt,defensedroid_apicalls_katz,4964.0,258.0,606.0,4616.0,0.9172730754500192,0.947066064833812,0.8839525086173879,0.9144215530903328,0.9172730754500192,0.8364054729000872,400.30450081825256,svm,,,
mt,defensedroid_apicalls_katz,4965.0,257.0,432.0,4790.0,0.934029107621601,0.9490786605904498,0.9172730754500192,0.9329048592852274,0.9340291076216009,0.8685460662552827,400.30450081825256,rf,,,
mt,defensedroid_apicalls_katz,4694.0,528.0,487.0,4735.0,0.9028150134048256,0.8996769903097093,0.9067407123707392,0.9031950405340964,0.9028150134048256,0.8056548592674899,400.30450081825256,knn,,,
mt,defensedroid_prs,5365.0,610.0,890.0,5085.0,0.8744769874476988,0.8928884986830553,0.8510460251046025,0.87146529562982,0.8744769874476989,0.7497776982790738,0.6659126281738281,svm,,,
mt,defensedroid_prs,5367.0,608.0,868.0,5107.0,0.8764853556485356,0.8936132983377078,0.8547280334728034,0.8737382378100941,0.8764853556485356,0.7536846094541793,0.6659126281738281,rf,,,
mt,defensedroid_prs,3027.0,2948.0,259.0,5716.0,0.7316317991631799,0.659741458910434,0.956652719665272,0.7809276589931006,0.7316317991631799,0.5187678870863067,0.6659126281738281,knn,,,
mt,drebin_215,5235.0,320.0,567.0,4988.0,0.9201620162016202,0.9397136397889976,0.897929792979298,0.918346681395563,0.9201620162016202,0.8411559630652867,0.6723194122314453,svm,,,
mt,drebin_215,5346.0,209.0,516.0,5039.0,0.9347434743474348,0.9601753048780488,0.9071107110711072,0.932889012311395,0.9347434743474348,0.8708178257379595,0.6723194122314453,rf,,,
mt,drebin_215,4916.0,639.0,352.0,5203.0,0.9108010801080108,0.890619650804519,0.9366336633663368,0.9130472931473196,0.9108010801080108,0.8227009073429942,0.6723194122314453,knn,,,
mt,kronodroid_real_device,34513.0,2242.0,2358.0,34397.0,0.9374234797986668,0.9388083735909822,0.9358454632022856,0.9373245769408944,0.9374234797986668,0.8748513166063617,5.956037759780884,svm,,,
