metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model
jowmdroid,android_permissions,342,634,401,1042,0.5721372467961968,0.6217183770883055,0.7221067221067221,0.668162872715614,0.5362582790861479,0.0771194357750708,1.8222780227661133,knn
jowmdroid,defensedroid_apicalls_closeness,2893,237,522,2377,0.8741084757007795,0.9093343534812548,0.8199379096240083,0.8623254126609832,0.8721095298918763,0.7503241399931765,20.05581045150757,svm
jowmdroid,defensedroid_apicalls_closeness,2900,230,391,2508,0.8969978437551833,0.9159970781592404,0.8651259054846498,0.8898350186269293,0.895821738684817,0.7944110038898062,20.05581045150757,rf
jowmdroid,defensedroid_apicalls_closeness,2796,334,477,2422,0.8654834964339028,0.8788098693759071,0.8354605036219386,0.8565870910698496,0.8643756192231099,0.7309084335376449,20.05581045150757,knn
jowmdroid,defensedroid_apicalls_degree,2894,231,567,2327,0.8674198371822562,0.9096950742767788,0.804077401520387,0.8536316947909024,0.8650787007601936,0.7379716809849335,20.63601446151733,svm
jowmdroid,defensedroid_apicalls_degree,2899,226,394,2500,0.8969928559561389,0.917094644167278,0.8638562543192813,0.8896797153024911,0.8957681271596407,0.7944860838446212,20.63601446151733,rf
jowmdroid,defensedroid_apicalls_degree,2747,378,578,2316,0.8411696295065626,0.8596881959910914,0.8002764340013822,0.8289191123836793,0.8396582170006911,0.682577195831687,20.63601446151733,knn
jowmdroid,defensedroid_apicalls_katz,3105,192,522,2520,0.8873639375295788,0.9292035398230089,0.8284023668639053,0.8759124087591241,0.8850838039961019,0.7776885538572155,20.243789434432983,svm
jowmdroid,defensedroid_apicalls_katz,3057,240,415,2627,0.8966713992743335,0.9162888036274852,0.8635765943458251,0.8891521408021662,0.8953915728780992,0.7937665221361306,20.243789434432983,rf
jowmdroid,defensedroid_apicalls_katz,2802,495,440,2602,0.8525003943839722,0.8401679044236358,0.8553583168967784,0.8476950643427268,0.8526109145903364,0.7048354148549053,20.243789434432983,knn
jowmdroid,defensedroid_prs,2095,269,314,4089,0.9138466085414512,0.9382744378155116,0.9286849875085168,0.9334550850359548,0.9074474006916526,0.8114048758479547,16.27845788002014,svm
jowmdroid,defensedroid_prs,2092,272,334,4069,0.9104477611940298,0.9373416263533748,0.924142630024983,0.9306953339432754,0.9045417041833882,0.8043611437220526,16.27845788002014,rf
jowmdroid,defensedroid_prs,2074,290,386,4017,0.9001034431801389,0.9326677501741352,0.9123325005677948,0.9223880597014924,0.8948295328558094,0.7826772584032237,16.27845788002014,knn
jowmdroid,drebin_215,3781,45,128,971,0.9648730964467004,0.9557086614173228,0.8835304822565969,0.9182033096926714,0.9358844256552196,0.8970011240981252,5.739279747009277,svm
jowmdroid,drebin_215,3779,47,134,965,0.9632487309644672,0.9535573122529644,0.8780709736123748,0.9142586451918522,0.9328933017565272,0.8921482141189688,5.739279747009277,rf
jowmdroid,drebin_215,3739,87,164,935,0.9490355329949238,0.9148727984344422,0.8507734303912647,0.8816595945308816,0.9140171386143464,0.8501487501731968,5.739279747009277,knn
jowmdroid,kronodroid_real_device,16093,815,1216,13339,0.9354479865238534,0.9424191041401724,0.916454826520096,0.929255634121704,0.9341263959901168,0.8702075127957873,92.42487907409668,svm
jowmdroid,kronodroid_real_device,16228,680,1016,13539,0.94609541366049,0.95217666502567,0.9301958090003436,0.9410578994925974,0.9449890802749528,0.8916163828608865,92.42487907409668,rf
jowmdroid,kronodroid_real_device,16167,741,1497,13058,0.9288688300543496,0.9463004565548228,0.8971487461353487,0.9210693376595894,0.926661669022252,0.8574277059250168,92.42487907409668,knn
jowmdroid,mh_100k,18993,4475,1182,6255,0.816955185245106,0.5829450139794967,0.8410649455425575,0.6886112181427864,0.825189878600493,0.5839791120363987,498.5458650588989,svm
jowmdroid,mh_100k,19672,3796,2674,4763,0.7906487623361915,0.5564902441874051,0.6404464165658196,0.5955238809702426,0.7393471216969203,0.4572815981809255,498.5458650588989,rf
jowmdroid,mh_100k,20120,3348,3031,4406,0.7935932696974599,0.5682228527211761,0.5924431894581148,0.580080310710289,0.7248904203639646,0.4434964078744588,498.5458650588989,knn
mt,adroit,992,0,133,0,0.8817777777777778,0.0,0.0,0.0,0.5,0.0,0.0531063079833984,svm
mt,adroit,979,13,122,11,0.88,0.4583333333333333,0.0827067669172932,0.1401273885350318,0.534800964103808,0.1555262309706193,0.0531063079833984,rf
mt,adroit,990,2,129,4,0.8835555555555555,0.6666666666666666,0.0300751879699248,0.0575539568345323,0.5140295294688334,0.1243838769746405,0.0531063079833984,knn
mt,androcrawl,13739,111,3193,56,0.8067723258670098,0.3353293413173652,0.0172360726377346,0.0327868852459016,0.5046108161022609,0.0367870678834914,0.1154501438140869,svm
mt,androcrawl,13739,111,3193,56,0.8067723258670098,0.3353293413173652,0.0172360726377346,0.0327868852459016,0.5046108161022609,0.0367870678834914,0.1154501438140869,rf
mt,androcrawl,12716,1134,2376,873,0.7947248377098076,0.4349775784753363,0.2686980609418282,0.3321917808219178,0.5934104023120693,0.227707794080417,0.1154501438140869,knn
mt,android_permissions,288,688,240,1203,0.6163704009921455,0.6361713379164463,0.8336798336798337,0.7216556688662268,0.5643809004464742,0.152926373891561,0.1214711666107177,svm
mt,android_permissions,337,639,381,1062,0.5783381562629185,0.6243386243386243,0.735966735966736,0.6755725190839694,0.5406268106063188,0.0872542160023582,0.1214711666107177,rf
mt,android_permissions,312,664,390,1053,0.5642827614716825,0.6132789749563191,0.7297297297297297,0.6664556962025316,0.5247009304386354,0.053400789643945,0.1214711666107177,knn
mt,defensedroid_apicalls_closeness,2892,238,539,2360,0.871122905954553,0.9083910700538876,0.8140738185581234,0.858650172821539,0.8690177399499883,0.7446352382357334,249.44451022148127,svm
mt,defensedroid_apicalls_closeness,2889,241,394,2505,0.8946757339525626,0.9122359796067008,0.8640910658847879,0.887511071744907,0.8935471303864835,0.7896548630807462,249.44451022148127,rf
mt,defensedroid_apicalls_closeness,2754,376,537,2362,0.8485652678719522,0.8626734842951059,0.8147637116246982,0.8380344154692212,0.8473179580487709,0.6970643114227348,249.44451022148127,knn
mt,defensedroid_apicalls_degree,2725,400,497,2397,0.8509719222462203,0.8569896317483018,0.8282653766413269,0.8423827095413812,0.8501326883206636,0.701500406418478,259.9604003429413,svm
mt,defensedroid_apicalls_degree,2887,238,374,2520,0.8983219803954146,0.9137055837563453,0.8707671043538355,0.89171974522293,0.8973035521769178,0.796808920602398,259.9604003429413,rf
mt,defensedroid_apicalls_degree,2617,508,553,2341,0.82372487124107,0.8216918216918216,0.808914996544575,0.815253351906669,0.8231774982722875,0.6467992816606332,259.9604003429413,knn
mt,defensedroid_apicalls_katz,3080,217,539,2503,0.8807382867960246,0.920220588235294,0.8228139381985535,0.8687955570982298,0.8784982642160496,0.764107078148623,335.7753484249115,svm
mt,defensedroid_apicalls_katz,3045,252,421,2621,0.8938318346742389,0.91228680821441,0.8616042077580539,0.8862214708368554,0.8925855433694728,0.7879910502513329,335.7753484249115,rf
mt,defensedroid_apicalls_katz,2775,522,441,2601,0.8480832938949361,0.8328530259365994,0.8550295857988166,0.8437956204379562,0.848351917558189,0.6962148260755353,335.7753484249115,knn
mt,defensedroid_prs,1993,371,364,4039,0.8913846608541451,0.9158730158730158,0.917329093799682,0.9166004765687054,0.8801958497763216,0.7609153763681783,0.591881275177002,svm
mt,defensedroid_prs,1988,376,394,4009,0.8862125018471997,0.9142531356898518,0.9105155575743812,0.9123805188893946,0.875731552052842,0.7501533681073671,0.591881275177002,rf
mt,defensedroid_prs,1893,471,363,4040,0.8767548396630708,0.8955885612946132,0.9175562116738588,0.90643930895221,0.8591588164968278,0.7264548793048899,0.591881275177002,knn
mt,drebin_215,3723,103,259,840,0.926497461928934,0.8907741251325557,0.7643312101910829,0.8227228207639569,0.8687050719016052,0.7803221993283698,0.2767889499664306,svm
