metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model
autocraft,drebin_215,6424,209,174,6459,0.971129202472486,0.9686562687462508,0.973767526006332,0.9712051725434178,0.971129202472486,0.942271522871304,28.526944875717163,knn
autocraft,kronodroid_real_device,28000,967,1175,27792,0.9630268926709704,0.9663757432455928,0.959436600269272,0.9628936700966636,0.9630268926709704,0.9260776603013404,198.1007285118103,svm
autocraft,kronodroid_real_device,28183,784,917,28050,0.9706390030034177,0.9728098772282722,0.96834328718887,0.9705714434006332,0.9706390030034177,0.9412879278195574,198.1007285118103,rf
autocraft,kronodroid_real_device,27863,1104,1130,27837,0.9614388787240652,0.961853425935524,0.960990092173853,0.9614215652414174,0.9614388787240652,0.9228781292008064,198.1007285118103,knn
autocraft,mh_100k,56758,5690,3,62445,0.954418075839098,0.916489322668232,0.9999519600307456,0.9564032071556022,0.9544180758390982,0.9126283987345724,928.3754739761353,svm
autocraft,mh_100k,57191,5257,525,61923,0.9537054829618242,0.9217475439118784,0.9915930053804766,0.9553954392569508,0.9537054829618242,0.9100273507055572,928.3754739761353,rf
autocraft,mh_100k,56898,5550,537,61911,0.9512634511913912,0.9177302441410592,0.9914008455034587,0.9531441239636976,0.9512634511913912,0.905448993038723,928.3754739761353,knn
jowmdroid,adroit,5291,349,1100,4540,0.8715425531914893,0.9286152587441194,0.8049645390070922,0.8623800930762655,0.8715425531914894,0.7497616685727286,9.532426595687866,svm
jowmdroid,adroit,5160,480,750,4890,0.8909574468085106,0.9106145251396648,0.8670212765957447,0.888283378746594,0.8909574468085107,0.7828124176154213,9.532426595687866,rf
jowmdroid,adroit,4961,679,799,4841,0.8689716312056738,0.8769927536231884,0.8583333333333333,0.8675627240143369,0.8689716312056738,0.738110350212065,9.532426595687866,knn
jowmdroid,androcrawl,57320,3273,7425,53168,0.9117224761936196,0.94201024078241,0.8774610928655125,0.9085906659603192,0.9117224761936196,0.8253849760907335,330.79678988456726,svm
jowmdroid,androcrawl,57272,3321,7365,53228,0.9118214975327184,0.9412721710375072,0.8784513062564983,0.908777381297912,0.9118214975327182,0.8254835136995327,330.79678988456726,rf
jowmdroid,androcrawl,60392,201,18883,41710,0.8425230637202317,0.9952041230225956,0.6883633423002657,0.8138218996331851,0.8425230637202318,0.7201287236021029,330.79678988456726,knn
jowmdroid,android_permissions,7791,4659,4624,7826,0.6271887550200803,0.626832198638366,0.6285943775100402,0.627712051333467,0.6271887550200802,0.254378515231357,42.94228792190552,svm
jowmdroid,android_permissions,8388,4062,5040,7410,0.6344578313253012,0.6459205020920502,0.5951807228915663,0.619513418610484,0.6344578313253012,0.2697492301301735,42.94228792190552,rf
jowmdroid,android_permissions,8460,3990,6177,6273,0.5916867469879518,0.6112247880736627,0.503855421686747,0.5523708889182407,0.5916867469879518,0.1862699125280366,42.94228792190552,knn
jowmdroid,defensedroid_apicalls_closeness,3519,159,483,3195,0.9127243066884176,0.9525939177101967,0.8686786296900489,0.908703071672355,0.9127243066884176,0.8286701514921916,28.73337960243225,svm
jowmdroid,defensedroid_apicalls_closeness,3527,151,340,3338,0.9332517672648178,0.9567211235310976,0.907558455682436,0.9314915585321611,0.9332517672648178,0.867649843359624,28.73337960243225,rf
jowmdroid,defensedroid_apicalls_closeness,3426,252,417,3261,0.9090538336052202,0.928266438941076,0.8866231647634584,0.9069670421360032,0.9090538336052202,0.8189321489423109,28.73337960243225,knn
jowmdroid,defensedroid_apicalls_degree,3517,161,520,3158,0.9074225122349104,0.9514914130762278,0.8586188145731376,0.9026725739602688,0.9074225122349104,0.8187545793330399,29.00019717216492,svm
jowmdroid,defensedroid_apicalls_degree,3515,163,333,3345,0.9325720500271888,0.9535347776510832,0.9094616639477976,0.9309768995268578,0.9325720500271888,0.8660697129294584,29.00019717216492,rf
jowmdroid,defensedroid_apicalls_degree,3407,271,528,3150,0.8913811854268624,0.9207833966676412,0.8564437194127243,0.8874489364699253,0.8913811854268625,0.784680318045443,29.00019717216492,knn
jowmdroid,defensedroid_apicalls_katz,3523,155,447,3231,0.9181620445894508,0.9542232722976964,0.8784665579119086,0.9147791619479048,0.9181620445894508,0.8389722588844578,24.21837067604065,svm
jowmdroid,defensedroid_apicalls_katz,3519,159,354,3324,0.9302610114192496,0.954349698535745,0.9037520391517128,0.9283619606200252,0.9302610114192496,0.8617340002285063,24.21837067604065,rf
jowmdroid,defensedroid_apicalls_katz,3334,344,382,3296,0.901305057096248,0.9054945054945056,0.8961392060902664,0.9007925662749384,0.901305057096248,0.8026529545559293,24.21837067604065,knn
jowmdroid,defensedroid_prs,3951,249,499,3701,0.910952380952381,0.9369620253164556,0.8811904761904762,0.9082208588957056,0.910952380952381,0.8233646812795707,21.741982221603397,svm
jowmdroid,defensedroid_prs,3996,204,498,3702,0.9164285714285716,0.9477726574500768,0.8814285714285715,0.9133974833456698,0.9164285714285714,0.8349051724467618,21.741982221603397,rf
jowmdroid,defensedroid_prs,3819,381,564,3636,0.8875,0.9051530993278566,0.8657142857142858,0.8849945235487404,0.8875,0.7757367060142262,21.741982221603397,knn
jowmdroid,drebin_215,6532,101,197,6436,0.977536559626112,0.9845494875325072,0.9703000150761344,0.9773728170083524,0.977536559626112,0.9551731647001828,14.661570072174072,svm
jowmdroid,drebin_215,6567,66,153,6480,0.983491632745364,0.9899175068744273,0.9769335142469472,0.9833826542226268,0.983491632745364,0.9670664540328382,14.661570072174072,rf
jowmdroid,drebin_215,6457,176,132,6501,0.976782752902156,0.9736408566721582,0.9800995024875622,0.9768595041322314,0.976782752902156,0.953586486516604,14.661570072174072,knn
jowmdroid,kronodroid_real_device,28179,788,1276,27691,0.9643732523216072,0.9723304891323432,0.9559498739945456,0.9640706054381506,0.9643732523216072,0.9288783279670486,327.2570290565491,svm
jowmdroid,kronodroid_real_device,28371,596,811,28156,0.9757137432250492,0.9792710072342794,0.9720026236752166,0.9756232782965748,0.9757137432250492,0.9514536944285916,327.2570290565491,rf
jowmdroid,kronodroid_real_device,28199,768,1329,27638,0.9638036386232608,0.9729634584242766,0.9541202057513722,0.9634497063078452,0.963803638623261,0.9277812875747437,327.2570290565491,knn
